휴양림명,구분,지역,지자체,1월 일반예약 오픈일시(복수),2월 일반예약 오픈일시(복수),3월 일반예약 오픈일시(복수),4월 일반예약 오픈일시(복수),5월 일반예약 오픈일시(복수),6월 일반예약 오픈일시(복수),7월 일반예약 오픈일시(복수),8월 일반예약 오픈일시(복수),9월 일반예약 오픈일시(복수),10월 일반예약 오픈일시(복수),11월 일반예약 오픈일시(복수),12월 일반예약 오픈일시(복수)
유명산 자연휴양림,국립,서울인천경기,가평군,2025-01-04 09:00; 2025-01-10 16:00; 2025-01-15 09:00; 2025-01-22 09:00,2025-02-04 09:00; 2025-02-10 16:00; 2025-02-15 09:00; 2025-02-19 09:00,2025-03-04 09:00; 2025-03-10 16:00; 2025-03-15 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-04 09:00; 2025-04-10 16:00; 2025-04-15 09:00; 2025-04-16 09:00; 2025-04-23 09:00,2025-05-04 09:00; 2025-05-10 16:00; 2025-05-15 09:00; 2025-05-21 09:00,2025-06-04 09:00; 2025-06-09 09:00; 2025-06-10 16:00; 2025-06-15 09:00; 2025-06-16 18:00; 2025-06-17 10:00; 2025-06-19 10:00; 2025-06-26 10:00,2025-07-04 09:00; 2025-07-10 16:00; 2025-07-15 09:00; 2025-07-16 09:00; 2025-07-23 09:00,2025-08-04 09:00; 2025-08-10 16:00; 2025-08-15 09:00; 2025-08-20 09:00,2025-09-04 09:00; 2025-09-10 16:00; 2025-09-15 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-04 09:00; 2025-10-10 16:00; 2025-10-15 09:00; 2025-10-22 09:00,2025-11-04 09:00; 2025-11-10 16:00; 2025-11-15 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
아세안 자연휴양림,국립,서울인천경기,양주시,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
천관산 자연휴양림,국립,광주전남,장흥군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
진도 자연휴양림,국립,광주전남,진도군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
김천숲속야영장,국립,대구경북,김천시,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
대야산 자연휴양림,국립,대구경북,문경시,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
청옥산 자연휴양림,국립,대구경북,봉화군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
칠보산 자연휴양림,국립,대구경북,영덕군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
검마산 자연휴양림,국립,대구경북,영양군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
통고산 자연휴양림,국립,대구경북,울진군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
운문산 자연휴양림,국립,대구경북,청도군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
달음산 자연휴양림,국립,부산경남,기장군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
용지봉 자연휴양림,국립,부산경남,김해시,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
남해편백 자연휴양림,국립,부산경남,남해군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
신불산 자연휴양림,국립,부산경남,울주군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
지리산 자연휴양림,국립,부산경남,함양군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
강씨봉자연휴양림,공립,서울인천경기,가평군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
칼봉산자연휴양림,공립,서울인천경기,가평군,2025-01-01 16:00; 2025-01-08 16:00; 2025-01-15 16:00; 2025-01-22 16:00; 2025-01-29 16:00,2025-02-05 16:00; 2025-02-12 16:00; 2025-02-19 16:00; 2025-02-26 16:00,2025-03-05 16:00; 2025-03-12 16:00; 2025-03-19 16:00; 2025-03-26 16:00,2025-04-02 16:00; 2025-04-09 16:00; 2025-04-16 16:00; 2025-04-23 16:00; 2025-04-30 16:00,2025-05-07 16:00; 2025-05-14 16:00; 2025-05-21 16:00; 2025-05-28 16:00,2025-06-04 16:00; 2025-06-11 16:00; 2025-06-18 16:00; 2025-06-25 16:00,2025-07-02 16:00; 2025-07-09 16:00; 2025-07-16 16:00; 2025-07-23 16:00; 2025-07-30 16:00,2025-08-06 16:00; 2025-08-13 16:00; 2025-08-20 16:00; 2025-08-27 16:00,2025-09-03 16:00; 2025-09-10 16:00; 2025-09-17 16:00; 2025-09-24 16:00,2025-10-01 16:00; 2025-10-08 16:00; 2025-10-15 16:00; 2025-10-22 16:00; 2025-10-29 16:00,2025-11-05 16:00; 2025-11-12 16:00; 2025-11-19 16:00; 2025-11-26 16:00,
석모도자연휴양림,공립,서울인천경기,강화군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
축령산자연휴양림,공립,서울인천경기,남양주시,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
수락산 동막골 자연휴양림,공립,서울인천경기,노원구,2025-01-01 14:00; 2025-01-08 14:00; 2025-01-15 14:00; 2025-01-22 14:00; 2025-01-29 14:00,2025-02-05 14:00; 2025-02-12 14:00; 2025-02-19 14:00; 2025-02-26 14:00,2025-03-05 14:00; 2025-03-12 14:00; 2025-03-19 14:00; 2025-03-26 14:00,2025-04-02 14:00; 2025-04-09 14:00; 2025-04-16 14:00; 2025-04-23 14:00; 2025-04-30 14:00,2025-05-07 14:00; 2025-05-14 14:00; 2025-05-21 14:00; 2025-05-28 14:00,2025-06-04 14:00; 2025-06-11 14:00; 2025-06-18 14:00; 2025-06-25 14:00,2025-07-02 14:00; 2025-07-09 14:00; 2025-07-16 14:00; 2025-07-23 14:00; 2025-07-30 14:00,2025-08-06 14:00; 2025-08-13 14:00; 2025-08-20 14:00; 2025-08-27 14:00,2025-09-03 14:00; 2025-09-10 14:00; 2025-09-17 14:00; 2025-09-24 14:00,2025-10-01 14:00; 2025-10-08 14:00; 2025-10-15 14:00; 2025-10-22 14:00; 2025-10-29 14:00,2025-11-05 14:00; 2025-11-12 14:00; 2025-11-19 14:00; 2025-11-26 14:00,
동두천자연휴양림,공립,서울인천경기,동두천시,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
서운산자연휴양림,공립,서울인천경기,안성시,2025-01-01 14:00; 2025-01-08 14:00; 2025-01-15 14:00; 2025-01-22 14:00; 2025-01-29 14:00,2025-02-05 14:00; 2025-02-12 14:00; 2025-02-19 14:00; 2025-02-26 14:00,2025-03-05 14:00; 2025-03-12 14:00; 2025-03-19 14:00; 2025-03-26 14:00,2025-04-02 14:00; 2025-04-09 14:00; 2025-04-16 14:00; 2025-04-23 14:00; 2025-04-30 14:00,2025-05-07 14:00; 2025-05-14 14:00; 2025-05-21 14:00; 2025-05-28 14:00,2025-06-04 14:00; 2025-06-11 14:00; 2025-06-18 14:00; 2025-06-25 14:00,2025-07-02 14:00; 2025-07-09 14:00; 2025-07-16 14:00; 2025-07-23 14:00; 2025-07-30 14:00,2025-08-06 14:00; 2025-08-13 14:00; 2025-08-20 14:00; 2025-08-27 14:00,2025-09-03 14:00; 2025-09-10 14:00; 2025-09-17 14:00; 2025-09-24 14:00,2025-10-01 14:00; 2025-10-08 14:00; 2025-10-15 14:00; 2025-10-22 14:00; 2025-10-29 14:00,2025-11-05 14:00; 2025-11-12 14:00; 2025-11-19 14:00; 2025-11-26 14:00,
